X,Y,OBJECTID,Pole_Material,Pole_Arm_Type,Luminaire_Type,Lamp_Type,Lamp_Wattage,Controller_ID,Northing,Easting,Pole_Height,InstallDate,FACILITYID,Receptacle,ControllerCircuit,Pole_Color,Pole_Manufacturer,Lamp_Manufacturer,Decorative,Notes,Location_Adjusted,RepairYear,FieldVerifiedDate
-88.2375428900636,40.1048949258323,441,Concrete,Pipe Arm,Cobra,HPS,150,SL069,1252132.2116,1011046.775875,3,,800,No,,Natural,Unknown,GE,No,,AERIAL,,
-88.2375444703266,40.1041997005588,442,Concrete,Pipe Arm,Cobra,HPS,150,SL069,1251878.952075,1011046.606625,3,,801,No,,Natural,Unknown,GE,No,,AERIAL,,
-88.2417897740631,40.1197066675489,443,Aluminum,Truss Arm,Cobra,HPS,250,SL054,1257526.642725,1009851.197,4,,821,Yes,1/3,Black,,GE,No,,AERIAL,,
-88.2415921920302,40.1197081692589,444,Aluminum,Truss Arm,Cobra,HPS,250,SL054,1257527.246625,1009906.674,4,,822,Yes,2/4,Black,,GE,No,,AERIAL,,
-88.2425698814697,40.1183898480936,445,Cast Aluminum,Other,Cobra,HPS,250,SL054,1257046.72217499,1009635.5742,1,,823,No,5/7,Black,,GE,Yes,,AERIAL,,
-88.2516897835107,40.1128342500042,446,Cast Iron,Other,Globe,IND,55,SL030,1255021.54335,1007085.049,7,,824,No,,Green,,QL,Yes,,AERIAL,,
-88.2419846954594,40.1186032087508,447,Cast Aluminum,Other,Cobra,HPS,250,SL054,1257124.544125,1009798.425,1,,825,Yes,,Black,,GE,Yes,,AERIAL,,
-88.2431390544971,40.1194142191925,448,Aluminum,Truss Arm,Cobra,HPS,250,SL053,1257419.722875,1009476.014,6,,826,Yes,B,Black,,GE,No,,AERIAL,,
-88.2435021410248,40.1195380480449,449,Aluminum,Truss Arm,Cobra,HPS,250,SL053,1257464.728825,1009374.425,6,,827,Yes,A,Black,,GE,No,,AERIAL,,
-88.2434988099097,40.1191489714848,450,Aluminum,Truss Arm,Cobra,HPS,250,SL053,1257322.995375,1009375.5,6,,828,Yes,A,Black,,GE,No,,AERIAL,,
-88.2434065140631,40.1180383747553,451,Cast Aluminum,Other,Globe,IND,85,SL032,1256920.79185,1009401.331,1,,829,Yes,E,Black,Sternberg,QL,Yes,,AERIAL,,10/12/18
-88.2434747817082,40.1174319790398,452,Cast Aluminum,Other,Globe,IND,85,SL032,1256699.55092499,1009383.789225,1,,831,Yes,G,Black,,QL,Yes,,AERIAL,,
-88.2434731414484,40.1173261436296,453,Aluminum,Pipe Arm,Cobra,HPS,250,SL032,1256658.7663,1009381.1966,5,,832,Yes,G,Natural,,GE,No,,AERIAL,,
